log-cxlBuyLow-addBuyTurnover            : -0.016919024865018836
log-tradeBuyQty-cxlSellHigh             : 0.016882117949115493
log-cxlSellHigh-tradeBuyQty             : -0.016882117949115493
log-tradeBuyQty-lastpx                  : 0.016877427578554826
log-lastpx-tradeBuyQty                  : -0.016877427578554826
log-tradeBuyQty-low                     : 0.01687698534951071
log-low-tradeBuyQty                     : -0.01687698534951071
log-tradeBuyQty-high                    : 0.016869122549522716
log-high-tradeBuyQty                    : -0.016869122549522712
log-open-tradeBuyQty                    : -0.016862842312067482
log-tradeBuyQty-open                    : 0.01686284231206748
log-tradeBuyTurnover-addSellLow         : 0.016860722350568017
log-addSellLow-tradeBuyTurnover         : -0.016860722350568014
log-addBuyQty-addSellHigh               : 0.016850137211614564
log-addSellHigh-addBuyQty               : -0.016850137211614564
log-addBuyQty-tradeSellLow              : 0.016796382400612413
log-tradeSellLow-addBuyQty              : -0.01679638240061241
log-tradeSellHigh-addBuyQty             : -0.016786069935850776
log-addBuyQty-tradeSellHigh             : 0.016786069935850773
log-nTradeBuy-cxlBuyHigh                : 0.016779181469420677
log-cxlBuyHigh-nTradeBuy                : -0.016779181469420677
log-addBuyTurnover-cxlSellLow           : 0.01672904250373064
log-cxlSellLow-addBuyTurnover           : -0.016729042503730637
log-asize0_4-tradeBuyQty                : -0.016690982650276166
log-tradeBuyQty-asize0_4                : 0.016690982650276163
log-nTradeBuy-cxlBuyLow                 : 0.016587809584797563
log-cxlBuyLow-nTradeBuy                 : -0.01658780958479756
log-addBuyTurnover-cxlSellHigh          : 0.016579280439166004
log-cxlSellHigh-addBuyTurnover          : -0.016579280439166
log-tradeBuyQty-bid19                   : 0.016532346743856
log-bid19-tradeBuyQty                   : -0.016532346743856
log-nAddBuy-asize10_19                  : 0.0165311045748121
log-asize10_19-nAddBuy                  : -0.0165311045748121
tradeBuyQty-atr0_4                      : 0.016525678477343243
log-addBuyQty-cxlBuyHigh                : 0.016516607477080978
log-cxlBuyHigh-addBuyQty                : -0.016516607477080975
